site_id_from;site_id_to;iwait;inveht;xwait;xpen;xnum;cost
1000;1001;0.6493506493506493;1.1999999999999997;0.0;0.0;0.0;1.849350649350649
1000;1054;3.488372093023256;31.199999999999992;0.0;0.0;0.0;34.68837209302325
1000;1173;1.5;3.3;0.0;0.0;0.0;4.8
1000;1401;7.5;53.69999999999997;0.0;0.0;0.0;61.19999999999997
1001;1054;2.380952380952381;30.06349206349206;0.0;0.0;0.0;32.44444444444444
1001;1173;1.5;4.2;0.0;0.0;0.0;5.7
1001;1332;7.5;58.29999999999997;0.0;0.0;0.0;65.79999999999997
1001;1401;7.5;52.49999999999997;0.0;0.0;0.0;59.99999999999997
1002;1001;2.586206896551724;1.1;0.0;0.0;0.0;3.6862068965517243
1002;1054;7.5;38.59999999999999;0.0;0.0;0.0;46.09999999999999
1003;1001;0.430416068866571;2.116642754662841;0.0;0.0;0.0;2.5470588235294116
1003;1054;1.2195121951219512;27.509756097560967;0.0;0.0;0.0;28.729268292682917
1003;1173;1.5;6.299999999999999;0.0;0.0;0.0;7.799999999999999
1003;1332;2.5;50.39999999999998;0.0;0.0;0.0;52.89999999999998
1003;1401;7.5;50.39999999999997;0.0;0.0;0.0;57.89999999999997
1004;1001;0.430416068866571;3.0166427546628407;0.0;0.0;0.0;3.447058823529412
1004;1054;0.819672131147541;23.436065573770488;0.0;0.0;0.0;24.25573770491803
1004;1173;1.5;7.199999999999998;0.0;0.0;0.0;8.7
1004;1332;2.5;46.09999999999999;0.0;0.0;0.0;48.59999999999999
1004;1385;8.108108108108107;15.614886363999998;0.0;0.0;0.0;23.722994472108105
1004;1401;7.5;46.09999999999998;0.0;0.0;0.0;53.59999999999998
1006;1001;2.586206896551724;7.3999999999999995;0.0;0.0;0.0;9.986206896551725
1006;1054;1.0714285714285714;22.485714285714284;0.0;0.0;0.0;23.557142857142857
1006;1332;2.5;45.19999999999998;0.0;0.0;0.0;47.69999999999998
1007;1001;0.5163511187607573;7.1;0.0;0.0;0.0;7.616351118760757
1007;1054;1.2195121951219512;20.999999999999996;0.0;0.0;0.0;22.219512195121947
1007;1173;1.5;11.3;0.0;0.0;0.0;12.8
1007;1332;2.5;43.19999999999998;0.0;0.0;0.0;45.69999999999998
1007;1401;7.5;43.49999999999998;0.0;0.0;0.0;50.99999999999998
1008;1001;0.5444646098003629;9.2;0.0;0.0;0.0;9.744464609800362
1008;1054;0.819672131147541;18.799999999999994;0.0;0.0;0.0;19.619672131147535
1008;1173;1.5;13.399999999999997;0.0;0.0;0.0;14.899999999999997
1008;1332;2.5;40.999999999999986;0.0;0.0;0.0;43.499999999999986
