X;Y;site_id
4162083.142;7195109.95;1094
4155911.144;7185880.95;1088
4156307.831;7191651.012;1089
4156885.356;7217533.308;1090
4156909.958;7188787.189;1091
4150035.256;7220974.867;1084
4151222.756;7220075.503;1085
4153046.114;7215115.931;1086
4154857.908;7217200.465;1087
4142171.536;7217216.174;1080
4146639.288;7222788.014;1081
4147231.452;7225476.668;1082
4147737.566;7216814.466;1083
4178785.084;7206364.062;1076
4178149.796;7205874.296;1077
4138513.188;7217667.538;1078
4139716.607;7217158.541;1079
4181455.015;7208578.387;1072
4180946.619;7208253.431;1073
4180115.897;7207722.399;1074
4179370.725;7206891.049;1075
4184087.22;7208629.486;1068
4182903.894;7209496.803;1069
4182608.118;7209310.846;1070
4182013.783;7208935.615;1071
4186704.842;7208040.576;1064
4185875.512;7208185.683;1065
4184788.644;7208371.422;1066
4183608.88;7208475.427;1067
4181089.553;7207250.485;1159
4181150.501;7231119.933;1160
4181241.95;7207817.546;1161
4181210.892;7204619.13;1162
4180804.297;7191907.199;1155
4180983.466;7215124.313;1156
4180987.807;7209528.589;1157
4181029.663;7192886.919;1158
4180379.279;7209471.202;1151
4180409.391;7193108.197;1152
4180406.998;7204337.992;1153
4180561.788;7207238.497;1154
4179852.237;7208113.843;1147
4180018.66;7207170.661;1148
4180055.785;7233717.888;1149
4180391.023;7208467.053;1150
4179492.397;7200072.981;1143
4179463.454;7205639.244;1144
4179500.022;7204042.027;1145
4179703.96;7193001.071;1146
4179128.382;7207683.294;1140
4179195.675;7193506.227;1141
4179263.524;7192502.594;1410
4179443.75;7209374.132;1142
4178840.399;7209317.793;1409
4178856.707;7236565.182;1137
4178993.519;7192269.748;1138
4179028.195;7206594.799;1139
4178422.951;7204991.206;1406
4178533.769;7214077.923;1136
4178556.089;7203867.802;1407
4178592.379;7207609.746;1408
4178233.373;7207078.852;1133
4178270.777;7207935.34;1405
4178379.592;7205268.373;1134
4178416.661;7192029.503;1135
4177717.463;7205645.237;1132
4177801.565;7194876.647;1402
4177903.311;7191823.448;1403
4178175.376;7192485.691;1404
4176613.564;7206215.797;1401
4176678.852;7205205.976;1129
4177005.241;7214577.959;1130
4177176.896;7240561.499;1131
4175490.016;7200058.152;1126
4175871.341;7214981.935;1127
4176263.018;7205101.349;1400
4176554.62;7208827.322;1128
4174566.342;7217601.137;1123
4174594.061;7216117.12;1124
4175230.419;7204184.302;1125
4175380.923;7209260.503;1399
4173437.062;7205970.179;1397
4173550.942;7207606.891;1398
4173911.951;7203231.226;1121
4174132.753;7210116.563;1122
4172935.011;7211033.636;1394
4172953.267;7209927.832;1395
4173027.406;7199906.923;1396
4173415.967;7218294.612;1120
4172396.336;7221089.142;1117
4172492.961;7200179.157;1393
4172723.059;7211210.781;1118
4172765.471;7220081.697;1119
4184704.209;7206359.062;1211
4184724.914;7197386.917;1212
4184804.174;7205625.546;1213
4184808.904;7189460.567;1214
4184465.206;7212398.831;1208
4184544.743;7195386.009;1209
4184666.471;7202308.217;1210
4184654.616;7206830.162;1422
4184285.814;7202548.872;1204
4184283.699;7197142.619;1205
4184413.108;7205668.541;1206
4184534.758;7207678.791;1207
4183873.153;7197184.333;1421
4183999.305;7207754.488;1201
4184190.135;7206406.913;1202
4184304.906;7196417.088;1203
4183805.657;7206010.346;1197
4183735.562;7192231.669;1198
4183828.124;7206477.025;1199
4183980.242;7189001.043;1200
4183307.762;7203177.119;1194
4183318.893;7225986.49;1420
4183421.003;7201709.747;1195
4183392.865;7207875.016;1196
4183208.353;7226269.93;1418
4183278.247;7195125.49;1192
4183232.509;7189392.411;1419
4183238.687;7199354.973;1193
4182953.209;7195388.479;1189
4183018.553;7201117.698;1190
4183136.608;7213475.561;1191
4183138.222;7207884.34;1417
4182768.975;7202136.027;1415
4182821.184;7197981.207;1187
4182867.826;7202879.677;1188
4182885.192;7203437.77;1416
4182719.605;7209776.507;1183
4182726.172;7206890.574;1184
4182740.644;7203764.143;1185
4182734.911;7227378.799;1186
4182580.455;7205380.041;1179
4182610.177;7202372.112;1180
4182614.074;7204643.573;1181
4182665.281;7195275.242;1182
4182271.11;7202075.468;1177
4182275.106;7216658.15;1178
4182339.282;7188320.965;1413
4182378.355;7226372.932;1414
4182117.298;7192710.059;1173
4182102.115;7215194.883;1174
